SMILES,log10_KM
N=C(N)NCCC[C@H](N)C(=O)O,0.12385164096708581
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,-1.853871964321762
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,-1.585026652029182
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,-1.2218487496163564
NC(=O)OP(=O)(O)O,-1.4062396395817685
C=Cc1ccccc1,-2.337242168318426
OC1OC[C@H](O)[C@H](O)[C@H]1O,2.0695300393246505
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,-0.5348629082039766
*SC(=O)CCCCCCCCCCCCCCCCC,-3.42021640338319
O=Cc1ccc(C(=O)O)o1,0.6020599913279624
C[C@H](N)C(=O)O,1.0866514209440932
O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.7304870557820837
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,-1.165418499404053
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-2.042809021484707
CC(=O)C(=O)O,-0.8239087409443188
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,-1.741018259086169
NCCCCNCCCN,-2.1426675035687315
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,0.2041199826559248
CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,-1.6846595233727117
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-1.3872161432802645
Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,-1.3010299956639813
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,0.37409401350310023
OO,1.8750612633917
O=P(O)(O)O,0.43136376415898736
OC[C@@H](O)[C@H](O)[C@@H](O)CO,0.4841128479486665
Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CC1CN2,-0.46852108295774486
O=S(O)O,-0.6640343107566427
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,-1.9208187539523751
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-3.0637047108800624
CC(C)=CCOP(=O)(O)OP(=O)(O)O,-1.0087739243075051
